Mineprep:0.5 | 时间戳1789889184.6354427,中文,English,繁體中文,,,"② *生成器过滤类型{1:'👤', 2:'🟩' , 3:'🟥', 4:'🟨', 5:'🌊', 6:'📸', 7:'💡', 8:'👪', 9:'✨', 10:'🧱', 11:'𝓕', 12:'🔧'}",<2:放置生物>,<2:Mobs>,<2:放置生物>,,,,③,<3:预设素材>,<3:Preset>,<3:預設素材>,,,④,<4:附加组件>,<4:Attach>,<4:附加組件>,,,⑤,<5:枚举选项>,<5:Enum Options>,<5:枚舉選項>,,,,⑥,<6:放置方块>,<6:Blocks>,<6:放置方塊>,,,,⑦,<7:放置物品>,<7:Items>,<7:放置物品>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡蓝色染色玻璃板 [边交替],light_blue_stained_glass_pane_side_alt,淺藍色染色玻璃片 (淺藍色玻璃片) [邊交替],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡蓝色陶瓦,light_blue_terracotta,淺藍色陶瓦 (淺藍色陶土),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡蓝色羊毛,light_blue_wool,淺藍色羊毛,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡灰色床 [尾],light_gray_bed_foot,淺灰色牀 (淺灰色床) [尾],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡灰色床 [头],light_gray_bed_head,淺灰色牀 (淺灰色床) [頭],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,插上淡灰色蜡烛的蛋糕,light_gray_candle_cake,插上淺灰色蠟燭的蛋糕,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,插上淡灰色蜡烛的蛋糕 [点燃],light_gray_candle_cake_lit,插上淺灰色蠟燭的蛋糕 [點燃],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡灰色蜡烛 [四支蜡烛],light_gray_candle_four_candles,淺灰色蠟燭 [四支蠟燭],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡灰色蜡烛 [四支蜡烛点燃],light_gray_candle_four_candles_lit,淺灰色蠟燭 [四支蠟燭點燃],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡灰色蜡烛 [一支蜡烛],light_gray_candle_one_candle,淺灰色蠟燭 [一支蠟燭],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡灰色蜡烛 [一支蜡烛点燃],light_gray_candle_one_candle_lit,淺灰色蠟燭 [一支蠟燭點燃],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡灰色蜡烛 [三支蜡烛],light_gray_candle_three_candles,淺灰色蠟燭 [三支蠟燭],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡灰色蜡烛 [三支蜡烛点燃],light_gray_candle_three_candles_lit,淺灰色蠟燭 [三支蠟燭點燃],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡灰色蜡烛 [两支蜡烛],light_gray_candle_two_candles,淺灰色蠟燭 [兩支蠟燭],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡灰色蜡烛 [两支蜡烛点燃],light_gray_candle_two_candles_lit,淺灰色蠟燭 [兩支蠟燭點燃],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡灰色地毯,light_gray_carpet,淺灰色地氈 (淺灰色地毯),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡灰色混凝土,light_gray_concrete,淺灰色混凝土,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡灰色混凝土粉末,light_gray_concrete_powder,淺灰色混凝土粉末,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡灰色带釉陶瓦,light_gray_glazed_terracotta,淺灰色釉陶,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟨💡,淡灰色潜影盒,light_gray_shulker_box,淺灰色界伏盒,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡灰色染色玻璃,light_gray_stained_glass,淺灰色染色玻璃 (淺灰色玻璃),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡灰色染色玻璃板 [无边],light_gray_stained_glass_pane_noside,淺灰色染色玻璃片 (淺灰色玻璃片) [無邊],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡灰色染色玻璃板 [无边交替],light_gray_stained_glass_pane_noside_alt,淺灰色染色玻璃片 (淺灰色玻璃片) [無邊交替],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡灰色染色玻璃板 [柱],light_gray_stained_glass_pane_post,淺灰色染色玻璃片 (淺灰色玻璃片) [柱],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡灰色染色玻璃板 [边],light_gray_stained_glass_pane_side,淺灰色染色玻璃片 (淺灰色玻璃片) [邊],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡灰色染色玻璃板 [边交替],light_gray_stained_glass_pane_side_alt,淺灰色染色玻璃片 (淺灰色玻璃片) [邊交替],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡灰色陶瓦,light_gray_terracotta,淺灰色陶瓦 (淺灰色陶土),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,淡灰色羊毛,light_gray_wool,淺灰色羊毛,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,轻质测重压力板,light_weighted_pressure_plate,輕質測重壓力板,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,轻质测重压力板 [按下],light_weighted_pressure_plate_down,輕質測重壓力板 [按下],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,避雷针,lightning_rod,避雷針,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,避雷针 [开启],lightning_rod_on,避雷針 [開啟],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,丁香 [底部],lilac_bottom,紫丁香 [底部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,丁香 [顶部],lilac_top,紫丁香 [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,铃兰,lily_of_the_valley,鈴蘭,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,睡莲,lily_pad,荷葉,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,黄绿色床 [尾],lime_bed_foot,淺綠色牀 (淺綠色床) [尾],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,黄绿色床 [头],lime_bed_head,淺綠色牀 (淺綠色床) [頭],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,插上黄绿色蜡烛的蛋糕,lime_candle_cake,插上淺綠色蠟燭的蛋糕,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,插上黄绿色蜡烛的蛋糕 [点燃],lime_candle_cake_lit,插上淺綠色蠟燭的蛋糕 [點燃],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,黄绿色蜡烛 [四支蜡烛],lime_candle_four_candles,淺綠色蠟燭 [四支蠟燭],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,黄绿色蜡烛 [四支蜡烛点燃],lime_candle_four_candles_lit,淺綠色蠟燭 [四支蠟燭點燃],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,黄绿色蜡烛 [一支蜡烛],lime_candle_one_candle,淺綠色蠟燭 [一支蠟燭],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,黄绿色蜡烛 [一支蜡烛点燃],lime_candle_one_candle_lit,淺綠色蠟燭 [一支蠟燭點燃],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,黄绿色蜡烛 [三支蜡烛],lime_candle_three_candles,淺綠色蠟燭 [三支蠟燭],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,黄绿色蜡烛 [三支蜡烛点燃],lime_candle_three_candles_lit,淺綠色蠟燭 [三支蠟燭點燃],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,黄绿色蜡烛 [两支蜡烛],lime_candle_two_candles,淺綠色蠟燭 [兩支蠟燭],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,黄绿色蜡烛 [两支蜡烛点燃],lime_candle_two_candles_lit,淺綠色蠟燭 [兩支蠟燭點燃],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,黄绿色地毯,lime_carpet,淺綠色地氈 (淺綠色地毯),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,黄绿色混凝土,lime_concrete,淺綠色混凝土,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,黄绿色混凝土粉末,lime_concrete_powder,淺綠色混凝土粉末,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,黄绿色带釉陶瓦,lime_glazed_terracotta,淺綠色釉陶,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟨,黄绿色潜影盒,lime_shulker_box,淺綠色界伏盒,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,黄绿色染色玻璃,lime_stained_glass,淺綠色染色玻璃 (淺綠色玻璃),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,黄绿色染色玻璃板 [无边],lime_stained_glass_pane_noside,淺綠色染色玻璃片 (淺綠色玻璃片) [無邊],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,黄绿色染色玻璃板 [无边交替],lime_stained_glass_pane_noside_alt,淺綠色染色玻璃片 (淺綠色玻璃片) [無邊交替],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,黄绿色染色玻璃板 [柱],lime_stained_glass_pane_post,淺綠色染色玻璃片 (淺綠色玻璃片) [柱],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,黄绿色染色玻璃板 [边],lime_stained_glass_pane_side,淺綠色染色玻璃片 (淺綠色玻璃片) [邊],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,黄绿色染色玻璃板 [边交替],lime_stained_glass_pane_side_alt,淺綠色染色玻璃片 (淺綠色玻璃片) [邊交替],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,黄绿色陶瓦,lime_terracotta,淺綠色陶瓦 (淺綠色陶土),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,黄绿色羊毛,lime_wool,淺綠色羊毛,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,磁石,lodestone,磁石,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,织布机,loom,織布機 (紡織機),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,品红色床 [尾],magenta_bed_foot,紫紅色牀 (洋紅色床) [尾],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,品红色床 [头],magenta_bed_head,紫紅色牀 (洋紅色床) [頭],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,插上品红色蜡烛的蛋糕,magenta_candle_cake,插上紫紅色蠟燭的蛋糕 (插上洋紅色蠟燭的蛋糕),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,插上品红色蜡烛的蛋糕 [点燃],magenta_candle_cake_lit,插上紫紅色蠟燭的蛋糕 (插上洋紅色蠟燭的蛋糕) [點燃],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,品红色蜡烛 [四支蜡烛],magenta_candle_four_candles,紫紅色蠟燭 (洋紅色蠟燭) [四支蠟燭],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,品红色蜡烛 [四支蜡烛点燃],magenta_candle_four_candles_lit,紫紅色蠟燭 (洋紅色蠟燭) [四支蠟燭點燃],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,品红色蜡烛 [一支蜡烛],magenta_candle_one_candle,紫紅色蠟燭 (洋紅色蠟燭) [一支蠟燭],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,品红色蜡烛 [一支蜡烛点燃],magenta_candle_one_candle_lit,紫紅色蠟燭 (洋紅色蠟燭) [一支蠟燭點燃],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,品红色蜡烛 [三支蜡烛],magenta_candle_three_candles,紫紅色蠟燭 (洋紅色蠟燭) [三支蠟燭],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,品红色蜡烛 [三支蜡烛点燃],magenta_candle_three_candles_lit,紫紅色蠟燭 (洋紅色蠟燭) [三支蠟燭點燃],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,品红色蜡烛 [两支蜡烛],magenta_candle_two_candles,紫紅色蠟燭 (洋紅色蠟燭) [兩支蠟燭],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,品红色蜡烛 [两支蜡烛点燃],magenta_candle_two_candles_lit,紫紅色蠟燭 (洋紅色蠟燭) [兩支蠟燭點燃],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,品红色地毯,magenta_carpet,紫紅色地氈 (洋紅色地毯),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,品红色混凝土,magenta_concrete,紫紅色混凝土 (洋紅色混凝土),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,品红色混凝土粉末,magenta_concrete_powder,紫紅色混凝土粉末 (洋紅色混凝土粉末),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,品红色带釉陶瓦,magenta_glazed_terracotta,紫紅色釉陶 (洋紅色釉陶),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟨,品红色潜影盒,magenta_shulker_box,紫紅色界伏盒 (洋紅色界伏盒),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,品红色染色玻璃,magenta_stained_glass,紫紅色染色玻璃 (洋紅色玻璃),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,品红色染色玻璃板 [无边],magenta_stained_glass_pane_noside,紫紅色染色玻璃片 (洋紅色玻璃片) [無邊],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,品红色染色玻璃板 [无边交替],magenta_stained_glass_pane_noside_alt,紫紅色染色玻璃片 (洋紅色玻璃片) [無邊交替],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,品红色染色玻璃板 [柱],magenta_stained_glass_pane_post,紫紅色染色玻璃片 (洋紅色玻璃片) [柱],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,品红色染色玻璃板 [边],magenta_stained_glass_pane_side,紫紅色染色玻璃片 (洋紅色玻璃片) [邊],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,品红色染色玻璃板 [边交替],magenta_stained_glass_pane_side_alt,紫紅色染色玻璃片 (洋紅色玻璃片) [邊交替],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,品红色陶瓦,magenta_terracotta,紫紅色陶瓦 (洋紅色陶土),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,品红色羊毛,magenta_wool,紫紅色羊毛 (洋紅色羊毛),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟥💡,岩浆块,magma_block,巖漿塊 (岩漿塊),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木按钮,mangrove_button,紅樹木按鈕 (紅樹林木按鈕),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木按钮 [物品栏],mangrove_button_inventory,紅樹木按鈕 (紅樹林木按鈕) [物品欄],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木按钮 [按下],mangrove_button_pressed,紅樹木按鈕 (紅樹林木按鈕) [按下],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木门 [底部左],mangrove_door_bottom_left,紅樹木門 (紅樹林木門) [底部左],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木门 [底部左打开],mangrove_door_bottom_left_open,紅樹木門 (紅樹林木門) [底部左打開],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木门 [底部右],mangrove_door_bottom_right,紅樹木門 (紅樹林木門) [底部右],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木门 [底部右打开],mangrove_door_bottom_right_open,紅樹木門 (紅樹林木門) [底部右打開],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木门 [顶部左],mangrove_door_top_left,紅樹木門 (紅樹林木門) [頂部左],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木门 [顶部左打开],mangrove_door_top_left_open,紅樹木門 (紅樹林木門) [頂部左打開],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木门 [顶部右],mangrove_door_top_right,紅樹木門 (紅樹林木門) [頂部右],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木门 [顶部右打开],mangrove_door_top_right_open,紅樹木門 (紅樹林木門) [頂部右打開],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木栅栏门,mangrove_fence_gate,紅樹木閘門 (紅樹林木柵欄門),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木栅栏门 [打开],mangrove_fence_gate_open,紅樹木閘門 (紅樹林木柵欄門) [打開],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木栅栏门 [墙上],mangrove_fence_gate_wall,紅樹木閘門 (紅樹林木柵欄門) [牆上],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木栅栏门 [墙上打开],mangrove_fence_gate_wall_open,紅樹木閘門 (紅樹林木柵欄門) [牆上打開],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木栅栏 [物品栏],mangrove_fence_inventory,紅樹木欄杆 (紅樹林木柵欄) [物品欄],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木栅栏 [柱],mangrove_fence_post,紅樹木欄杆 (紅樹林木柵欄) [柱],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木栅栏 [边],mangrove_fence_side,紅樹木欄杆 (紅樹林木柵欄) [邊],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,悬挂式红树木告示牌 [附着旋转0],mangrove_hanging_sign_attached_rot_0,紅樹木吊牌 (懸掛式紅樹林木告示牌) [附著旋轉0],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,悬挂式红树木告示牌 [附着旋转1],mangrove_hanging_sign_attached_rot_1,紅樹木吊牌 (懸掛式紅樹林木告示牌) [附著旋轉1],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,悬挂式红树木告示牌 [附着旋转2],mangrove_hanging_sign_attached_rot_2,紅樹木吊牌 (懸掛式紅樹林木告示牌) [附著旋轉2],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,悬挂式红树木告示牌 [附着旋转3],mangrove_hanging_sign_attached_rot_3,紅樹木吊牌 (懸掛式紅樹林木告示牌) [附著旋轉3],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,悬挂式红树木告示牌 [旋转0],mangrove_hanging_sign_rot_0,紅樹木吊牌 (懸掛式紅樹林木告示牌) [旋轉0],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,悬挂式红树木告示牌 [旋转1],mangrove_hanging_sign_rot_1,紅樹木吊牌 (懸掛式紅樹林木告示牌) [旋轉1],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,悬挂式红树木告示牌 [旋转2],mangrove_hanging_sign_rot_2,紅樹木吊牌 (懸掛式紅樹林木告示牌) [旋轉2],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,悬挂式红树木告示牌 [旋转3],mangrove_hanging_sign_rot_3,紅樹木吊牌 (懸掛式紅樹林木告示牌) [旋轉3],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,红树树叶,mangrove_leaves,紅樹木樹葉 (紅樹林木樹葉),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,红树原木,mangrove_log,紅樹木原木 (紅樹林木原木),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,红树原木 [水平],mangrove_log_horizontal,紅樹木原木 (紅樹林木原木) [水平],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木板,mangrove_planks,紅樹木板 (紅樹林木材),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木压力板,mangrove_pressure_plate,紅樹木壓力板 (紅樹林木壓力板),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木压力板 [按下],mangrove_pressure_plate_down,紅樹木壓力板 (紅樹林木壓力板) [按下],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,红树胎生苗,mangrove_propagule,紅樹胎生苗 (紅樹林木胎生苗),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,红树胎生苗 [悬挂0],mangrove_propagule_hanging_0,紅樹胎生苗 (紅樹林木胎生苗) [懸掛0],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,红树胎生苗 [悬挂1],mangrove_propagule_hanging_1,紅樹胎生苗 (紅樹林木胎生苗) [懸掛1],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,红树胎生苗 [悬挂2],mangrove_propagule_hanging_2,紅樹胎生苗 (紅樹林木胎生苗) [懸掛2],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,红树胎生苗 [悬挂3],mangrove_propagule_hanging_3,紅樹胎生苗 (紅樹林木胎生苗) [懸掛3],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,红树胎生苗 [悬挂4],mangrove_propagule_hanging_4,紅樹胎生苗 (紅樹林木胎生苗) [懸掛4],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,红树根,mangrove_roots,紅樹根 (紅樹林木根),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木展示架,mangrove_shelf,紅樹木置物架 (紅樹林木展示架),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木展示架 [中],mangrove_shelf_center,紅樹木置物架 (紅樹林木展示架) [中],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木展示架 [物品栏],mangrove_shelf_inventory,紅樹木置物架 (紅樹林木展示架) [物品欄],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木展示架 [左],mangrove_shelf_left,紅樹木置物架 (紅樹林木展示架) [左],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木展示架 [右],mangrove_shelf_right,紅樹木置物架 (紅樹林木展示架) [右],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木展示架 [未连接],mangrove_shelf_unconnected,紅樹木置物架 (紅樹林木展示架) [未連接],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木展示架 [未充能],mangrove_shelf_unpowered,紅樹木置物架 (紅樹林木展示架) [未充能],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木告示牌 [旋转0],mangrove_sign_rot_0,紅樹木指示牌 (紅樹林木告示牌) [旋轉0],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木告示牌 [旋转1],mangrove_sign_rot_1,紅樹木指示牌 (紅樹林木告示牌) [旋轉1],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木告示牌 [旋转2],mangrove_sign_rot_2,紅樹木指示牌 (紅樹林木告示牌) [旋轉2],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木告示牌 [旋转3],mangrove_sign_rot_3,紅樹木指示牌 (紅樹林木告示牌) [旋轉3],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木台阶,mangrove_slab,紅樹木半磚 (紅樹林木半磚),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木台阶 [顶部],mangrove_slab_top,紅樹木半磚 (紅樹林木半磚) [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木楼梯,mangrove_stairs,紅樹木樓梯 (紅樹林木階梯),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木楼梯 [内角],mangrove_stairs_inner,紅樹木樓梯 (紅樹林木階梯) [內角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红树木楼梯 [外角],mangrove_stairs_outer,紅樹木樓梯 (紅樹林木階梯) [外角],,,,,,,
